protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,size_p1,size_p2,attribute
M8lcl_FP565814.1_prot_CBH22964.1_43_[gene=fabG]_[protein=3_oxoacyl_[acyl_carrier_protein]_reductase]_[protein_id=CBH22964.1]_[location=41301..42050],42,M8lcl_FP565814.1_prot_CBH25870.1_2949_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25870.1]_[location=3458888..3460402],2948,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH22964.1_43_[gene=fabG]_[protein=3_oxoacyl_[acyl_carrier_protein]_reductase]_[protein_id=CBH22964.1]_[location=41301..42050],42,M8lcl_FP565814.1_prot_CBH25885.1_2964_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25885.1]_[location=complement(3478907..3480166)],2963,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,"M8lcl_FP565814.1_prot_CBH23052.1_131_[gene=SRM_00131]_[protein=Conserved_hypothetical_protein,_secreted]_[protein_id=CBH23052.1]_[location=163771..164085]",130,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,"M8lcl_FP565814.1_prot_CBH23101.1_180_[gene=SRM_00180]_[protein=Conserved_hypothetical_protein,_secreted]_[protein_id=CBH23101.1]_[location=226733..226963]",179,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH23756.1_835_[gene=treZ]_[protein=Malto_oligosyltrehalose_trehalohydrolase]_[protein_id=CBH23756.1]_[location=complement(957169..958941)],834,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH23757.1_836_[gene=malQ]_[protein=4_alpha_glucanotransferase]_[protein_id=CBH23757.1]_[location=complement(959047..960567)],835,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH23795.1_874_[gene=SRM_00874]_[protein=Conserved_hypohtetical_protein_of_unknown_function_DUF427]_[protein_id=CBH23795.1]_[location=complement(1003836..1004168)],873,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH23890.1_969_[gene=glgA]_[protein=Glycogen_synthase]_[protein_id=CBH23890.1]_[location=complement(1099006..1099797)],968,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,"M8lcl_FP565814.1_prot_CBH23950.1_1029_[gene=glgB]_[protein=1,4_alpha_glucan_branching_enzyme]_[protein_id=CBH23950.1]_[location=complement(1174482..1176350)]",1028,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH23953.1_1032_[gene=glgX]_[protein=Glycogen_debranching_enzyme_GlgX]_[protein_id=CBH23953.1]_[location=1182020..1184314],1031,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,"M8lcl_FP565814.1_prot_CBH24156.1_1235_[gene=SRM_01235]_[protein=Hypothetical_protein,_secreted]_[protein_id=CBH24156.1]_[location=1416188..1416661]",1234,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH25063.1_2142_[gene=glgC]_[protein=Glucose_1_phosphate_adenylyltransferase]_[protein_id=CBH25063.1]_[location=2466331..2467614],2141,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,"M8lcl_FP565814.1_prot_CBH25164.1_2243_[gene=SRM_02243]_[protein=conserved_hypothetical_protein,_secreted]_[protein_id=CBH25164.1]_[location=2588887..2590659]",2242,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565814.1_prot_CBH25401.1_2480_[gene=susB]_[protein=alpha_glucosidase]_[protein_id=CBH25401.1]_[location=complement(2871828..2873984)],2479,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565812.1_prot_CBH22784.1_28_[gene=SRM_p61028]_[protein=hypothetical_protein]_[protein_id=CBH22784.1]_[location=complement(23891..25540)],3164,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23000.1_79_[gene=glgP]_[protein=Glycogen_phosphorylase]_[protein_id=CBH23000.1]_[location=complement(82956..85088)],78,M8lcl_FP565813.1_prot_CBH22839.1_33_[gene=nodH]_[protein=Nodulation_protein_H]_[protein_id=CBH22839.1]_[location=complement(43327..44118)],3219,0.7445316227541731,1,2,INFO
"M8lcl_FP565814.1_prot_CBH23002.1_81_[gene=SRM_00081]_[protein=conserved_hypothetical_protein,_secreted]_[protein_id=CBH23002.1]_[location=complement(87566..88510)]",80,M8lcl_FP565814.1_prot_CBH25345.1_2424_[gene=pyrC]_[protein=Dihydroorotase]_[protein_id=CBH25345.1]_[location=complement(2801027..2802319)],2423,0.5853673270493429,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,"M8lcl_FP565814.1_prot_CBH23423.1_502_[gene=porB]_[protein=2_oxoacid:ferredoxin_oxidoreductase,_beta_subunit]_[protein_id=CBH23423.1]_[location=611866..613230]",501,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH23778.1_857_[gene=ldh]_[protein=L_lactate_dehydrogenase]_[protein_id=CBH23778.1]_[location=982566..983516],856,0.6652526286700384,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH23884.1_963_[gene=glcK]_[protein=Glucokinase]_[protein_id=CBH23884.1]_[location=complement(1091644..1092627)],962,0.626398770267071,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH23886.1_965_[gene=eno2]_[protein=Enolase]_[protein_id=CBH23886.1]_[location=complement(1093024..1094313)],964,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH24309.1_1388_[gene=GPD]_[protein=Glyceraldehyde_3_phosphate_dehydrogenase]_[protein_id=CBH24309.1]_[location=complement(1573175..1574179)],1387,0.7428387338373759,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH25038.1_2117_[gene=fbaB]_[protein=fructose_bisphosphate_aldolase_class_I]_[protein_id=CBH25038.1]_[location=2429450..2430532],2116,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,"M8lcl_FP565814.1_prot_CBH25107.1_2186_[gene=pdhB]_[protein=pyruvate_dehydrogenase_complex,_E1_component]_[protein_id=CBH25107.1]_[location=complement(2516361..2517344)]",2185,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH25108.1_2187_[gene=pdhA]_[protein=Pyruvate_dehydrogenase_E1_component_alpha_subunit]_[protein_id=CBH25108.1]_[location=complement(2517440..2518852)],2186,0.6614570300475248,1,2,INFO
M8lcl_FP565814.1_prot_CBH23004.1_83_[gene=zwf]_[protein=Glucose_6_phosphate_dehydrogenase]_[protein_id=CBH23004.1]_[location=complement(90032..91546)],82,M8lcl_FP565814.1_prot_CBH25496.1_2575_[gene=gpmI]_[protein=Phosphoglyceromutase]_[protein_id=CBH25496.1]_[location=complement(3007743..3009314)],2574,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23006.1_85_[gene=tal]_[protein=Putative_Transaldolase_Phosphoglucose_isomerase]_[protein_id=CBH23006.1]_[location=complement(92673..95435)],84,M8lcl_FP565814.1_prot_CBH23271.1_350_[gene=tktA]_[protein=transketolase]_[protein_id=CBH23271.1]_[location=412884..414914],349,0.7445316227541731,1,2,INFO
M8lcl_FP565814.1_prot_CBH23006.1_85_[gene=tal]_[protein=Putative_Transaldolase_Phosphoglucose_isomerase]_[protein_id=CBH23006.1]_[location=complement(92673..95435)],84,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.7445316227541731,1,2,INFO
