protein_1,protein_1_idx,protein_2,protein_2_idx,confidence,attributes,attribute_p1,attribute_p2
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH24438.1_1518_[gene=aspC]_[protein=aspartate_aminotransferase]_[protein_id=CBH24438.1]_[location=1731667..1732860],1517,0.5461803411707981,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH25175.1_2254_[gene=cysK]_[protein=cysteine_synthase_A]_[protein_id=CBH25175.1]_[location=2602793..2603746],2253,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,DAY
M8lcl_FP565814.1_prot_CBH22948.1_27_[gene=coaBC]_[protein=Coenzyme_A_biosynthesis_bifunctional_protein_coaBC]_[protein_id=CBH22948.1]_[location=complement(27312..28553)],26,M8lcl_FP565814.1_prot_CBH25215.1_2294_[gene=coaD]_[protein=Phosphopantetheine_adenylyltransferase]_[protein_id=CBH25215.1]_[location=complement(2650949..2651443)],2293,0.6327898711288322,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH23298.1_377_[gene=nrdB]_[protein=ribonucleoside_diphosphate_reductase]_[protein_id=CBH23298.1]_[location=444838..447564],376,0.5156828402281458,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH24148.1_1227_[gene=pyk]_[protein=Pyruvate_kinase]_[protein_id=CBH24148.1]_[location=1404402..1405832],1226,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NONE
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH24906.1_1985_[gene=pnpA]_[protein=polyribonucleotide_nucleotidyltransferase]_[protein_id=CBH24906.1]_[location=complement(2267574..2269811)],1984,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22950.1_29_[gene=gmk]_[protein=Guanylate_kinase]_[protein_id=CBH22950.1]_[location=complement(29163..29801)],28,M8lcl_FP565814.1_prot_CBH25213.1_2292_[gene=guaA]_[protein=GMP_synthase_[glutamine_hydrolyzing]]_[protein_id=CBH25213.1]_[location=complement(2648716..2650296)],2291,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22953.1_32_[gene=pyrH]_[protein=Uridylate_kinase]_[protein_id=CBH22953.1]_[location=complement(31596..32375)],31,M8lcl_FP565814.1_prot_CBH23298.1_377_[gene=nrdB]_[protein=ribonucleoside_diphosphate_reductase]_[protein_id=CBH23298.1]_[location=444838..447564],376,0.6656762276065856,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
M8lcl_FP565814.1_prot_CBH22953.1_32_[gene=pyrH]_[protein=Uridylate_kinase]_[protein_id=CBH22953.1]_[location=complement(31596..32375)],31,M8lcl_FP565814.1_prot_CBH24400.1_1479_[gene=upp]_[protein=Uracil_phosphoribosyltransferase]_[protein_id=CBH24400.1]_[location=1688797..1689429],1478,0.5669784733974467,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22953.1_32_[gene=pyrH]_[protein=Uridylate_kinase]_[protein_id=CBH22953.1]_[location=complement(31596..32375)],31,M8lcl_FP565814.1_prot_CBH24906.1_1985_[gene=pnpA]_[protein=polyribonucleotide_nucleotidyltransferase]_[protein_id=CBH24906.1]_[location=complement(2267574..2269811)],1984,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",DAY,NIGHT
M8lcl_FP565814.1_prot_CBH22953.1_32_[gene=pyrH]_[protein=Uridylate_kinase]_[protein_id=CBH22953.1]_[location=complement(31596..32375)],31,M8lcl_FP565814.1_prot_CBH24971.1_2050_[gene=surE]_[protein=5'_nucleotidase_surE]_[protein_id=CBH24971.1]_[location=complement(2353356..2354174)],2049,0.6034144714560451,"['DAY', 'NIGHT', 'NONE']",DAY,NONE
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24577.1_1656_[gene=glpA]_[protein=FAD_dependent_glycerol_3_phosphate_dehydrogenase_subunit]_[protein_id=CBH24577.1]_[location=complement(1887585..1889159)],1655,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24587.1_1666_[gene=gpsA]_[protein=Glycerol_3_phosphate_dehydrogenase_[NAD(P)+]]_[protein_id=CBH24587.1]_[location=1900487..1901512],1665,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22960.1_39_[gene=plsX]_[protein=Fatty_acid/phospholipid_synthesis_protein_plsX]_[protein_id=CBH22960.1]_[location=37121..38137],38,M8lcl_FP565814.1_prot_CBH24595.1_1674_[gene=gpsA]_[protein=Glycerol_3_phosphate_dehydrogenase]_[protein_id=CBH24595.1]_[location=1909356..1910510],1673,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NONE,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH22962.1_41_[gene=fabD]_[protein=Malonyl_CoA_acyl_carrier_protein_transacylase]_[protein_id=CBH22962.1]_[location=39188..40210],40,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,DAY
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH22964.1_43_[gene=fabG]_[protein=3_oxoacyl_[acyl_carrier_protein]_reductase]_[protein_id=CBH22964.1]_[location=41301..42050],42,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,"M8lcl_FP565814.1_prot_CBH23422.1_501_[gene=korA]_[protein=2_oxoacid__ferredoxin_oxidoreductase,_alpha_subunit]_[protein_id=CBH23422.1]_[location=609815..611713]",500,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,DAY
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,"M8lcl_FP565814.1_prot_CBH23423.1_502_[gene=porB]_[protein=2_oxoacid:ferredoxin_oxidoreductase,_beta_subunit]_[protein_id=CBH23423.1]_[location=611866..613230]",501,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH23465.1_544_[gene=accA]_[protein=Acetyl_coenzyme_A_carboxylase_carboxyl_transferase_subunit_alpha]_[protein_id=CBH23465.1]_[location=664911..666431],543,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH23833.1_912_[gene=fabG]_[protein=3_oxoacyl_[acyl_carrier_protein]_reductase]_[protein_id=CBH23833.1]_[location=1041034..1041807],911,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,"M8lcl_FP565814.1_prot_CBH24050.1_1129_[gene=accB]_[protein=Acetyl_CoA_carboxylase,_biotin_carboxyl_carrier_protein]_[protein_id=CBH24050.1]_[location=1297627..1298259]",1128,0.5427413104570885,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,"M8lcl_FP565814.1_prot_CBH24052.1_1131_[gene=accC]_[protein=Acetyl_CoA_carboxylase,_biotin_carboxylase]_[protein_id=CBH24052.1]_[location=1298499..1299866]",1130,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,DAY
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH24062.1_1141_[gene=SRM_01141]_[protein=Short_chain_dehydrogenase/reductase_SDR]_[protein_id=CBH24062.1]_[location=1311104..1311907],1140,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH24256.1_1335_[gene=accD]_[protein=Acetyl_coenzyme_A_carboxylase_carboxyl_transferase_subunit_beta]_[protein_id=CBH24256.1]_[location=1511904..1512749],1334,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH25106.1_2185_[gene=pdhC]_[protein=pyruvate_dehydrogenase]_[protein_id=CBH25106.1]_[location=complement(2514868..2516265)],2184,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH25124.1_2203_[gene=SRM_02203]_[protein=dehydrogenase]_[protein_id=CBH25124.1]_[location=2533525..2534397],2202,0.5560571001070558,"['DAY', 'NIGHT', 'NONE']",NIGHT,DAY
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,"M8lcl_FP565814.1_prot_CBH25490.1_2569_[gene=accA]_[protein=Acetyl_CoA_carboxylase,_alpha_subunit]_[protein_id=CBH25490.1]_[location=complement(2999474..3000481)]",2568,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NONE
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH25870.1_2949_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25870.1]_[location=3458888..3460402],2948,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
M8lcl_FP565814.1_prot_CBH22961.1_40_[gene=fabH]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_III]_[protein_id=CBH22961.1]_[location=38181..39185],39,M8lcl_FP565814.1_prot_CBH25885.1_2964_[gene=fabF]_[protein=3_oxoacyl_[acyl_carrier_protein]_synthase_II]_[protein_id=CBH25885.1]_[location=complement(3478907..3480166)],2963,0.7022748179127344,"['DAY', 'NIGHT', 'NONE']",NIGHT,NIGHT
